text,label
央行宣布下调存款准备金率释放长期流动性,财经
多家银行推出小微企业专项贷款支持复工复产,财经
A股三大指数午后拉升新能源板块表现活跃,财经
人民币汇率保持稳定跨境资金流动总体平衡,财经
消费券带动商圈客流回升餐饮零售明显恢复,财经
国家队公布新一期集训名单年轻球员入选,体育
中超联赛本周末开赛多支球队完成引援,体育
女篮热身赛大胜对手外线命中率显著提升,体育
马拉松赛事恢复报名参赛人数创近年新高,体育
乒乓球公开赛落幕中国选手包揽两项冠军,体育
国产大模型发布多模态理解能力持续增强,科技
新一代芯片采用先进制程提升能效表现,科技
智能汽车搭载激光雷达辅助驾驶功能升级,科技
研究团队提出高效文本检索算法降低推理成本,科技
手机厂商发布折叠屏新品主打轻薄和续航,科技
热门电影上映首周票房突破十亿元,娱乐
音乐综艺节目收官原创舞台获得观众好评,娱乐
演员新剧开播现实题材引发网络讨论,娱乐
电影节公布入围名单多部青年导演作品亮相,娱乐
线上演唱会采用虚拟制作技术提升沉浸感,娱乐
高校新增人工智能专业培养复合型人才,教育
多地公布中考改革方案强化综合素质评价,教育
考研报名人数回落高校优化招生专业结构,教育
在线教育平台推出个性化学习诊断服务,教育
职业院校开展校企合作提升学生实践能力,教育
